qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,eps,revenue,eps_growth,revenue_growth,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,target,target_lag1
2011Q2,-117269,71.86666666666666,340346.0,611.6666666666666,9.066666666666668,5.6,224.5683333333333,9030.823076923078,12057.533333333333,3.1874615384615383,0.19220066189982823,3389.0167300916696,16.60125855795323,0.2916178406667565,330.302430688789,25911981.031332802,378590.47070467455,563.6181102013803,12.113671517593167,82.44387126793588,11.766917106378433,3165.1000667323055,14.290792557568281,21315724.884463754,1254.0709859500707,12.870053887734786,10.098903335037331,
2011Q3,-104792,59.666666666666664,343066.0,626.0,9.0,3.1,226.03266666666664,9439.061538461536,12110.233333333332,2.4035454545454535,-0.07986876619763902,3446.4278400241215,-1.2838067290025355,0.04254555910526499,323.70511987052146,26738139.46167293,391969.46063348034,553.6610629062337,11.855907343554772,82.8813998381518,11.447606912360696,3196.741291029812,13.840160384067483,21974767.964614697,1268.7989941085098,12.716346423206861,7.316136493797362,10.098903335037331
2011Q4,-107755,64.8,349014.0,691.3333333333334,8.633333333333333,5.7,227.0473333333333,9603.907692307692,12147.833333333334,2.0310769230769234,0.19589570440025486,3153.5762390214636,-1.56720831011792,-0.04674331183594279,322.8611971639183,24167190.94928403,351672.822540097,530.4210069830964,5.002507532652113,81.37476978656228,11.62203557321173,2979.4149744337287,14.330105405528295,19485082.1078618,1146.516261365803,12.819332415096047,8.135122594849562,7.316136493797362
2012Q1,-115491,75.5,356235.0,752.0,8.266666666666667,5.3,228.32600000000002,9766.7,12375.233333333332,2.021092307692308,0.1522465126994419,3017.173275838032,-0.23013830591023535,0.0026631660133115253,335.6793318833645,23245236.777137153,334714.80012869183,517.1543036972095,12.356974201585157,79.26933938778431,11.324846040087376,2810.175768959999,14.373556486459815,18082865.01122195,1137.3866170956317,12.761941278515692,8.108220560521477,8.135122594849562
2012Q2,-111579,76.3,355052.0,774.0,8.2,2.8,228.808,9907.892307692307,12487.766666666668,1.8080307692307696,0.3027399788652202,3540.136516345257,1.1197364905510343,0.14093913508820505,323.3319372588839,25651530.48013871,371414.14350377675,529.152041757468,12.063964067253178,82.80196632009022,12.113778523952375,3306.623801657326,14.665368564101238,21064299.2177076,1212.026896571508,13.509267045112212,8.847546749168442,8.108220560521477
2012Q3,-100661,74.96666666666665,357820.0,873.0,8.033333333333333,2.6,229.841,10106.384615384615,12398.4,1.6246031746031748,0.0936339077002192,3321.55775103199,-0.6998657798525656,-0.045323728349446105,319.6519523646217,25645889.19780976,369465.39581537596,526.4197989825293,12.20277985977403,83.01980576185966,11.33092516049936,3098.2353695281404,13.690214337461555,21115694.512850676,1180.4989991854593,12.702300954856897,8.29060239813648,8.847546749168442
2012Q4,-99102,79.4,363147.0,915.0,7.8,2.4,231.36933333333334,10336.828571428572,12741.933333333334,1.691803278688524,0.11212062586396013,3246.247365327792,3.0569031490022356,-0.0413626899525955,334.35365251295246,24474119.782525122,346588.4511244782,535.8269852275691,12.488980417297157,80.6322254624472,11.628589519438755,3063.254025320066,14.487630345372072,19529728.809939433,1172.826613052979,12.904659916442874,9.550005689593975,8.29060239813648
2013Q1,-94304,76.66666666666666,369558.6666666667,952.0,7.733333333333333,4.9,232.29933333333335,10486.858333333332,12231.966666666667,1.9323666666666675,0.12171026048102698,3183.7430317874278,9.450159174528226,0.014546317287984493,334.4588223157168,24105809.202127136,337353.0231781663,534.8971582009686,12.540975474849283,79.15373638085771,11.612779127189244,2969.5227294131746,14.77012519550006,18724138.634915844,1136.2699131495851,13.004962478471041,12.564496148386906,9.550005689593975
2013Q2,-90791,81.66666666666667,369235.6666666667,985.6666666666666,7.533333333333334,2.0,232.045,10610.26923076923,12323.033333333333,2.002608108108108,0.32995516342810677,3475.65647460166,2.223803084771173,0.11599559944245107,305.4837412032879,25815684.13060475,359879.6740406948,517.2365453375521,11.788634812632981,82.74293780539371,11.61229626220888,3249.1920795905835,14.095764659151923,21133904.62153491,1120.3167732968584,13.124961330635198,12.43108205168676,12.564496148386906
2013Q3,-88116,81.56666666666666,372688.0,988.3333333333334,7.233333333333333,5.4,233.29999999999998,10773.421428571426,12376.300000000001,2.698358024691357,0.42928009194181077,3451.424888210484,0.32870169972811414,0.015880423614303238,314.0804185157808,25518450.530930564,355287.6139741511,512.2191049743692,11.870216484804523,82.74907192410471,11.85169316613142,3238.789032681088,14.42577148360745,20731950.41436533,1106.4805259276154,13.321496141472293,13.808360047758967,12.43108205168676
2013Q4,-75590,76.93333333333334,374594.0,1026.6666666666667,6.933333333333334,5.5,234.1626666666667,10971.107692307693,12425.199999999999,2.736987012987013,0.33030813375861384,3333.9701002747292,-0.22663051754031416,-0.03867821737802256,309.8322310876976,24232545.864816986,335110.64042942034,508.15399918341814,12.009882615549715,81.47978797365627,11.833246991157731,3126.8684442024337,14.600045656527397,19538542.08459152,1036.7473692894782,13.315799582570547,17.91021545924863,13.808360047758967
2014Q1,-88573,80.93333333333334,377627.6666666667,1030.0,6.666666666666667,0.6,235.62099999999998,11133.73076923077,12598.300000000001,2.7571999999999997,0.25036405397150274,3171.548259701167,-0.31503308593760987,-0.035198309877519415,311.91005912985617,23367306.778760437,322934.04251592484,509.0254118557514,12.368612403526019,81.11455617336335,11.640561610313616,2960.0283444387214,14.477155877162984,18619251.0041518,1006.4567236138101,13.204747350329118,21.918937217250587,17.91021545924863
2014Q2,-85907,82.83333333333333,386993.0,1034.6666666666667,6.2,7.6,236.87233333333333,11309.484615384617,12769.866666666667,2.610857142857143,0.707808000140467,3796.5756468838754,9.737405437342511,0.1803478841985914,305.47407093204885,26084255.613375787,359032.8732296548,514.6586524696514,11.902884200018441,84.61260230647262,12.596161083531943,3564.5308932380917,14.938851069987127,21907543.078295816,1090.5216603046294,14.117025287892748,24.87650726367728,21.918937217250587
2014Q3,-88594,82.96666666666667,389734.0,1065.3333333333333,6.066666666666667,7.3,237.47833333333332,11458.015384615383,12918.966666666665,2.490304878048781,0.5253505361579988,3786.210647673381,-0.2685517001521015,-0.02247087837104019,300.3674206494587,26836556.66521038,369048.1048136783,535.9223149919841,11.93621378184198,85.09332979749446,12.410912299960453,3568.3085046739234,14.618546464238882,22697264.814518664,1104.2337635441404,13.80683837701504,29.779098448941347,24.87650726367728
2014Q4,-102125,89.76666666666665,390215.0,1078.6666666666667,5.7,2.1,236.88833333333332,11602.553846153845,13089.733333333332,2.2666794871794878,0.3455638567461747,3661.0064934402653,-0.3214580681374484,-0.04514244151287851,262.8429658336651,26118180.273835238,355021.94618399855,525.0331042457701,11.632200540102396,82.40826544678525,12.242926566037715,3456.1951073776354,14.897445681090298,21433537.440827966,935.0020903774014,13.51778261610818,37.2390086866675,29.779098448941347
2015Q1,-102141,95.5,387032.3333333333,1086.3333333333333,5.533333333333334,3.1,235.31966666666665,11813.138461538461,13238.433333333334,1.9663199999999994,0.6602955804957942,3465.155704472356,1.0870872681288086,-0.020208595113265004,200.91101688919792,25546060.60472596,343735.1310475465,527.8487083927433,10.8089647788907,81.357203126194,11.882589574812478,3248.8374773517407,14.674530799893423,20555413.978665687,695.1139482362046,13.183701508973765,39.190772296744676,37.2390086866675
2015Q2,-98045,94.23333333333335,393483.6666666667,1266.0,5.433333333333334,5.0,236.93800000000002,11950.907692307694,13337.966666666667,2.153769230769231,0.8302658865276866,3801.41589918255,0.27819683335724804,0.13344905700316625,205.64544784793185,27446315.068641506,371643.71968195954,510.4127451763922,10.625951974033972,84.98759962368607,12.079074856837448,3572.404749073721,14.230194683874162,23252257.15339731,760.6984354633084,13.38170141242721,31.435080309288914,39.190772296744676
2015Q3,-109188,90.73333333333333,397281.0,1148.3333333333333,5.1000000000000005,2.8,237.86233333333334,12096.43076923077,13436.0,2.216923076923077,0.8577013117438095,3949.036819811471,0.08222111235356401,0.018642290314501382,186.4197350900821,28281584.11767464,384698.4195600892,527.4022639290089,10.689656758759032,85.35901277010751,12.063062503835576,3600.6825104486547,14.132813121727963,24148099.274153292,727.1468988870486,13.53222146495063,34.990585071959956,31.435080309288914
2015Q4,-98390,91.3,396041.6666666667,1209.6666666666667,5.033333333333333,0.5,237.87133333333335,12262.06153846154,13478.666666666666,2.1810641025641018,0.7876714544938573,4007.085619703494,-0.07396697717246425,-0.04174191534334161,165.1132675751591,28870035.57233613,393054.14271634724,565.2481459554768,10.639193121292777,83.9160339070851,11.978174900560983,3646.3056230529464,14.275791668831584,24250409.672417708,652.4710304459692,13.425439020406758,36.63731821793789,34.990585071959956
2016Q1,-112435,91.56666666666666,396789.6666666667,1160.3333333333333,4.933333333333334,0.9,237.78,12520.392307692307,13568.699999999999,1.9110399999999996,0.7646523369219403,3884.4052120107267,-0.026601407278374962,-0.01681023326542662,163.83290026654487,28781973.348376133,385864.5029379023,570.8416396429245,10.45765908728625,81.51967832158613,11.574289530541579,3521.584232887899,14.232940780647269,23290132.89100528,672.6530935503197,13.04275046370757,37.628524112501744,36.63731821793789
2016Q2,-103316,92.39999999999999,401317.6666666667,1178.6666666666667,4.9,4.9,239.48600000000002,12745.530769230767,13554.366666666669,1.7442207792207787,1.1370294781652897,4332.903124401532,0.4606361107330335,0.09713328758911713,167.2503478291468,31284834.726823054,420340.71684864565,579.401532328574,10.258016434917506,85.58079146171909,11.748341760740129,3923.273019326157,13.74221119926702,26761516.738230947,727.8845686993187,13.297302810756245,32.530298619542286,37.628524112501744
2016Q3,-106792,90.33333333333333,405144.6666666667,1225.6666666666667,4.8999999999999995,3.4,240.601,12951.499999999998,13615.066666666668,1.5629753086419755,0.6632886738245982,4146.0582625789475,-0.3520852496424634,-0.018610207835351077,174.56247168224525,30909112.810836993,419762.9480894553,573.0247728698754,11.044652789158647,85.53456319149537,11.502334026777907,3743.8953522450256,13.45831026776224,26395688.472176388,755.6911596448515,13.029480852447275,32.229472607670836,32.530298619542286
2016Q4,-105806,93.06666666666666,408985.3333333333,1261.3333333333333,4.766666666666667,5.0,242.16400000000002,13156.06923076923,13696.733333333332,2.1297236842105263,0.7677889400001964,4050.929861730984,0.19724663333908302,-0.024858081521942445,181.63154923671638,30081603.237946328,403932.7154045006,577.1397885746169,10.809493995121974,84.1650685483753,11.470307192092873,3665.4177617151554,13.600617531354375,25388250.340408154,758.1537895318123,12.98060369886543,41.59058576140656,32.229472607670836
2017Q1,-104295,97.23333333333335,415191.0,1284.6666666666667,4.6000000000000005,3.8,243.83,13332.853846153848,13860.966666666667,2.4449736842105265,0.4923065737818661,3977.7595083177503,-0.37401833036344345,-0.03524018283943166,190.10865619284627,30513895.92615912,405603.99879365385,595.0359044823985,11.114003291643614,80.6789256403368,11.442084630847022,3696.5312298002073,14.196688961055154,24491082.42428928,786.66204054542,12.615297042976508,42.776945284335675,41.59058576140656
2017Q2,-122874,96.36666666666667,416439.6666666667,1254.3333333333333,4.366666666666667,3.1,244.06500000000003,13508.046153846151,13953.4,2.257144736842105,1.1259128268762533,4753.258764544508,1.3074726137067423,0.1760447197852857,183.70764195034113,33707020.576024175,449973.13831815665,610.2427447324185,10.863913530475108,85.5154886386635,12.499888470353085,4428.772774885652,14.611764595867772,28838808.586224616,849.1312408429578,13.719126288047068,48.40146663663148,42.776945284335675
2017Q3,-99708,95.09999999999998,421180.6666666667,1277.0,4.3,6.2,245.36833333333334,13657.753846153846,14034.566666666666,2.241205128205128,0.8309167888176405,4540.991722871411,-0.2563173061631636,-0.06230100737198178,192.5121995139088,33720667.70782409,452043.76411848323,589.3643951268693,11.074495864761671,84.7993863802203,12.024689319777536,4207.52738658377,14.167685264550688,28607825.932754043,888.1028819977025,13.1917202227613,42.05287281671928,48.40146663663148
2017Q4,-112769,98.36666666666667,431362.3333333333,1326.0,4.133333333333334,6.6,247.2733333333333,13807.930769230767,14162.433333333334,2.3708571428571426,2.847817034325022,4456.599726898003,2.4440272030697314,-0.013386535106060547,206.90423123759524,32474874.311308343,430110.6072120644,600.8371351763365,11.543022848527977,84.5074741081122,12.139129276758217,4119.673388737106,14.346136999692227,27537254.699194994,903.1593028318769,13.368819713883948,49.940490244130615,42.05287281671928
2018Q1,-114001,98.93333333333334,434541.0,1376.3333333333333,4.066666666666666,5.2,249.25033333333332,13893.261538461538,14400.299999999997,2.7571733333333337,0.6247412129305387,4201.1660027878315,-0.7785616930303033,-0.04391262350820538,207.78740441267342,32055490.009065364,420954.4612137228,608.7951296110327,11.416527598180158,81.94364893745195,11.9928144650352,3908.2707193902834,14.639654604788321,26178255.00439656,877.1724309924001,12.825772107959297,43.756737111499426,49.940490244130615
2018Q2,-107311,98.33333333333333,439856.3333333333,1334.3333333333333,3.9,6.6,250.57866666666666,14031.715384615385,14495.933333333334,2.921415584415584,0.9350127772155938,4819.523600116182,0.012313126696717136,0.15472267760436817,222.82529216911718,35236420.03768131,462603.39304309804,613.7203329242476,11.605320760226904,84.87188782393889,12.539730296531427,4509.089262862558,14.780731568557437,29872788.279551495,1027.1473699678359,13.34670374881975,39.384556700475144,43.756737111499426
2018Q3,-125739,98.06666666666668,442571.6666666667,1290.3333333333333,3.7999999999999994,4.8,251.82866666666666,14180.884615384615,14613.266666666668,2.921538461538461,0.9805004799094417,4763.024002633736,0.2519660798086228,-0.013133642356127382,225.92958993073037,35000327.44597287,462771.48969518003,631.5220400828667,11.578742978822241,84.31834923282848,12.50576400048737,4450.190331270479,14.850264523623576,29411419.275330283,1044.8935767584424,13.322396818793008,47.21381517799685,39.384556700475144
2018Q4,-143927,98.13333333333333,444835.3333333333,1318.0,3.8000000000000003,2.5,252.759,14290.8,14715.166666666666,3.0349870129870133,1.1024663689929453,4634.138505703997,0.39692882194177204,0.009308485148181694,224.97310391014108,33296076.873037137,434848.7129603628,610.1656125077575,11.564517924871268,83.47310391014106,12.645713760274687,4333.162896951344,15.151854567319294,27799441.78006172,982.3151285257607,13.455997641938303,37.40257882008814,47.21381517799685
2019Q1,-136194,94.46666666666665,446027.3333333333,1297.0,3.8666666666666667,4.0,253.31133333333332,14462.216666666669,14878.1,2.6503466666666657,0.6363582655172,4292.944724565422,-0.4465829706613524,-0.0822155808825621,205.38715724576443,32152774.709692538,418284.8200286224,625.797366321039,11.744624055749382,81.36612161120631,12.019582104354681,3971.3509196987347,14.77683256855607,26104445.56970016,861.3097499725578,12.920119974046107,40.231574123687,37.40257882008814
2019Q2,-128188,98.46666666666665,453971.0,1273.6666666666667,3.6333333333333333,5.4,255.13933333333333,14628.330769230768,14966.633333333333,2.3329866666666668,1.2777031165522386,4889.232447109094,1.3092473422928155,0.14761973770539602,213.72767938652245,33703674.381301284,449090.3229979981,621.285744367022,11.838831969617225,86.21325408453028,13.158196922101963,4554.952775814849,15.26293488577144,29080934.02937767,958.9598744641785,14.046641665590116,39.90125957448674,40.231574123687
